"","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"1","chr16",51183988,51190201,6214,"*",42,4.67256437223397e-124,2.0619453015227e-133,1.08647119621686e-09,6.12954050389147e-135,0.389021466076367,0.233499573363658,"SALL1"
"2","chr7",27181480,27185393,3914,"*",48,1.01410907882071e-151,1.28995197857478e-148,6.18131973375254e-08,7.88539120984882e-135,0.344526544441243,0.231536920415546,"HOXA-AS3, HOXA3, RP1-170O19.22, HOXA5, HOXA6"
"3","chr3",147108843,147115930,7088,"*",35,4.44329646731588e-85,3.34532185992112e-124,2.21771686623222e-12,9.06165554919658e-133,0.3988827701521,0.220639085512571,"ZIC1, ZIC4"
"4","chr12",115130855,115136308,5454,"*",47,1.69564032077984e-126,3.67612558004183e-136,6.45285276882567e-07,1.56105587459811e-127,0.342368541976355,0.206339624646208,NA
"5","chr5",2749715,2758088,8374,"*",38,1.50054362287518e-64,3.7334282961974e-121,1.28545091014585e-10,1.61750606741284e-118,0.353344968401383,0.208212460947471,"C5orf38, IRX2"
"6","chr7",27191097,27198896,7800,"*",46,2.67194810056274e-60,1.07870110507281e-122,5.46568170866472e-09,1.4112710896369e-116,0.385542442788517,0.210577267342555,"HOXA-AS3, RP1-170O19.21, HOXA3, RP1-170O19.22, RP1-170O19.23, HOXA7"
"7","chr13",112720171,112724583,4413,"*",25,3.55187576259672e-127,6.50193362448743e-115,5.06362775432406e-13,5.14543903057249e-114,0.376484999231049,0.225949498653606,"SOX1"
"8","chr7",19155785,19158954,3170,"*",34,5.37644456860246e-120,1.19911953656506e-122,3.52485439820067e-08,5.80697403970494e-113,0.371823011043573,0.223926113452216,"TWIST1"
"9","chr13",78491982,78494462,2481,"*",47,2.72121729072976e-165,1.81717747158114e-112,5.190929097226e-11,7.91651433292796e-112,0.322911510334389,0.164290481533862,"RNF219-AS1, EDNRB"
"10","chr6",30138213,30140417,2205,"*",28,1.97837201557111e-173,9.77984939035937e-95,1.20245921922691e-14,1.71022603683492e-107,0.4428111375558,0.189601385372011,"TRIM15"
"11","chr3",147123123,147131617,8495,"*",48,1.10948904981047e-68,1.27289514995156e-106,1.00903537624032e-13,4.79339613273862e-106,0.390149169076831,0.200894959891494,"ZIC1, ZIC4"
"12","chr13",53419596,53424127,4532,"*",23,1.18838585874469e-91,1.30849838885321e-106,4.48961073745992e-13,6.99769215747386e-106,0.393875479236878,0.254119822767875,"PCDH8"
"13","chr6",33243391,33246488,3098,"*",53,1.11815214464407e-126,9.59008685789341e-108,1.69220040882601e-05,5.75190683032185e-102,-0.355373812243916,-0.1744921624897,"RPS18, B3GALT4"
"14","chr7",27168609,27171528,2920,"*",28,3.58625212446866e-117,1.06598069496074e-106,2.79679253955188e-08,7.48239408252502e-99,0.37642468445832,0.260646386439706,"HOXA-AS2, HOXA-AS3, HOXA3, HOXA4, RP1-170O19.22"
"15","chr11",32454718,32461240,6523,"*",33,1.31144859930546e-60,1.08809954052283e-107,3.35754643762913e-07,4.35154527360728e-98,0.427375200921689,0.226887153741283,"WT1-AS, WT1"
"16","chr7",1269181,1278508,9328,"*",41,1.74881897994394e-61,5.33668345537507e-93,2.35897375820399e-11,3.0432872604571e-97,0.36315897902734,0.18509260899027,"UNCX"
"17","chr10",50816963,50822752,5790,"*",30,1.29311246385699e-60,4.60801861719011e-90,7.44169708639926e-12,1.46578452124567e-93,0.328634820728979,0.187565361988263,"CHAT, SLC18A3"
"18","chr5",16179633,16180419,787,"*",15,3.99366691752598e-142,6.15499699998349e-96,2.67604233723531e-14,5.03207133411477e-93,0.413877435783194,0.269043779481965,"RP11-19O2.2, MARCH11"
"19","chr16",62068447,62071193,2747,"*",16,9.14814774881441e-133,1.72793482363189e-89,1.6467257333571e-12,7.74240188821507e-90,0.36375106724168,0.242248117002285,"CDH8"
"20","chr2",176969612,176974001,4390,"*",20,1.67623560797463e-112,5.32576264504535e-84,3.85637423524411e-14,5.54609179307468e-86,0.410468926765145,0.226621404518598,"HOXD11, AC009336.1, HOXD10"
"21","chr6",31828260,31833966,5707,"*",86,9.70066533796536e-68,1.12024364022531e-84,3.75302925615201e-05,1.77442138738326e-85,0.307268959400621,0.0688889083039786,"NEU1, SLC44A4"
"22","chr2",176993017,176995556,2540,"*",18,1.43914655550668e-124,1.17642635516809e-81,1.65222260014958e-17,2.14855122881748e-85,0.494664626258306,0.249932302304814,"HOXD8, HOXD-AS2"
"23","chr8",132052044,132054713,2670,"*",13,2.98614293608306e-99,3.41198604658956e-85,4.62972263257874e-13,2.06362815366748e-83,0.350674212331975,0.244359149764265,"ADCY8"
"24","chr7",153583318,153586022,2705,"*",12,2.75263950579097e-111,7.98849964748148e-85,5.9921233527834e-14,2.58693180152844e-82,0.424425287576218,0.327733996347209,"DPP6"
"25","chr7",70596377,70598282,1906,"*",10,8.88424242719426e-126,4.32330684418058e-83,1.32181038987562e-18,1.57552793491269e-81,0.399549752085438,0.301125695677817,"WBSCR17"
"26","chr11",30037696,30039113,1418,"*",16,1.25300256557719e-127,3.48862507737154e-84,9.94742719493083e-11,5.21108280085187e-81,0.338474815947172,0.249161965633041,"KCNA4"
"27","chr13",37004536,37006748,2213,"*",24,1.47577553495694e-114,8.19432775330786e-77,5.52447771474014e-13,1.59721201151154e-78,0.475400241689965,0.230188788443621,"CCNA1"
"28","chr20",37351945,37354889,2945,"*",16,2.64204816893904e-117,8.60076787320371e-73,1.0860807024579e-12,9.96064933780123e-77,0.385121474648027,0.238259326290124,"SLC32A1"
"29","chr1",50886071,50893149,7079,"*",35,1.63410394982858e-65,1.04870064385251e-66,1.37499374393194e-11,1.49394961373445e-76,0.416319579983255,0.175802341431026,"DMRTA2"
"30","chr21",34395093,34400072,4980,"*",23,1.70590575205485e-80,8.71426264484475e-78,7.60846369836918e-10,4.30100134758863e-76,0.378301525131646,0.212116638945751,"OLIG2, AP000282.2"
"31","chr8",57357785,57361052,3268,"*",23,5.74423447913e-99,1.28224129523576e-74,5.05959495468099e-10,6.22182153271905e-76,0.350376628255704,0.187937839319589,"RP11-17A4.2, PENK"
"32","chr4",111539291,111545119,5829,"*",29,1.052082324271e-56,5.97808270242427e-79,5.10613882965999e-10,8.47547299189506e-76,0.403504953367306,0.203600879658303,"PITX2"
"33","chr5",1875188,1880310,5123,"*",23,2.50166929661939e-62,9.03613203202574e-71,8.35709646326064e-14,1.57221887103633e-75,0.486900180117327,0.205200436094259,"IRX4"
"34","chr10",129533731,129537308,3578,"*",19,6.22551798644374e-85,7.49070073608657e-77,1.32968979049498e-12,2.89498648224735e-75,0.452246175069566,0.257622589643838,"FOXI2, AL391005.1"
"35","chr7",27204005,27206907,2903,"*",22,2.09788564790499e-96,5.92331594666421e-75,8.00691844391335e-14,1.61686298592285e-74,0.411551588100954,0.228155626411175,"HOXA9, RP1-170O19.20"
"36","chr20",21683478,21686728,3251,"*",19,2.33404894301248e-90,1.14004803794969e-74,2.22896419501963e-09,3.30008080634834e-72,0.315991501220324,0.212204497228878,"PAX1"
"37","chr2",105470050,105474472,4423,"*",20,1.36358573539435e-77,9.52129043684652e-71,4.23073845291e-13,1.74624065851551e-71,0.391268112252974,0.232628736262219,"RP11-13J10.1, POU3F3"
"38","chr8",24771114,24773268,2155,"*",19,1.53498882554374e-96,3.06424571447732e-69,1.9234302770334e-10,1.76686829296418e-70,0.38744549547139,0.210022315908035,"NEFM, GS1-72M22.1"
"39","chr7",27140797,27144854,4058,"*",32,6.83352843251575e-52,2.800796229189e-76,4.92651595846263e-06,2.58896470067027e-70,0.328815151304197,0.203545573802848,"HOXA2"
"40","chr4",9782243,9783965,1723,"*",12,1.00455418073799e-124,1.82966097574846e-63,3.99862625187075e-14,3.54777625379145e-70,0.463135908548594,0.252269331671813,"DRD5, SLC2A9"
"41","chr11",43601125,43604860,3736,"*",21,6.88792265742248e-85,2.64260959855675e-67,7.17651523433028e-11,1.071489887074e-69,0.400462574220866,0.221848313735087,"HSD17B12, MIR129-2"
